Player,Pitches,Total,Pitch %,PA,AB,BIP,Hits,1B,2B,3B,HR,SO,K%,BB,BB%,Whiffs,Swings,BA,xBA,OBP,xOBP,SLG,xSLG,wOBA,xwOBA,Barrels,BABIP,ISO,Whiff%,EV (MPH),Adj. EV (MPH),LA (°),Dist (ft),Hard Hit%,Barrel/BBE%,Barrel/PA%,Year
"Lipcius, Andre",2612,2612,100.0,634,560,420,152,99,26,2,25,144,22.7,67,10.6,376,"1,270",.271,.233,.350,.317,.459,.383,.351,.309,27,.322,.188,29.6,86.8,90.5,19,167,30.7,6.4,4.3,2024
"Avans, Drew",2526,2526,100.0,622,539,384,147,104,27,8,8,157,25.2,79,12.7,315,"1,169",.273,.242,.367,.341,.397,.354,.339,.313,14,.370,.124,26.9,87.2,90.8,11,163,38.3,3.6,2.3,2024
"Brito, Juan  CLE #8",2504,2504,100.0,651,551,451,141,80,40,0,21,105,16.1,87,13.4,248,"1,145",.256,.231,.364,.342,.443,.369,.354,.319,27,.280,.187,21.7,87.3,91.3,18,159,33.0,6.0,4.1,2024
"Taylor, Samad",2489,2489,100.0,599,508,369,133,99,19,4,11,156,26.0,68,11.4,291,"1,071",.262,.215,.352,.316,.380,.311,.325,.287,12,.352,.118,27.2,81.9,90.2,9,150,26.6,3.3,2.0,2024
"Meidroth, Chase  CWS #13",2462,2462,100.0,558,437,371,128,98,20,3,7,71,12.7,105,18.8,88,757,.293,.252,.437,.407,.400,.337,.378,.345,8,.332,.108,11.6,88.6,91.3,5,147,34.0,2.2,1.4,2024
"Rave, John",2397,2397,100.0,578,498,385,129,71,32,5,21,125,21.6,65,11.2,238,"1,024",.259,.229,.346,.322,.470,.375,.352,.310,32,.303,.211,23.2,86.5,91.3,12,149,35.8,8.3,5.5,2024
"Garlick, Kyle",2394,2394,100.0,618,538,374,127,75,21,3,28,170,27.5,68,11.0,331,"1,107",.236,.218,.325,.313,.442,.373,.333,.307,34,.286,.206,29.9,88.7,91.6,17,155,38.8,9.1,5.5,2024
"Montgomery, Colson  MLB #37 / #CWS #4",2341,2341,100.0,572,485,324,104,62,21,3,18,164,28.7,68,11.9,304,"1,065",.214,.217,.327,.331,.381,.354,.316,.310,25,.281,.167,28.5,85.8,91.3,18,148,34.3,7.7,4.4,2024
"Misner, Kameron",2300,2300,100.0,518,439,289,109,62,26,4,17,152,29.3,72,13.9,342,"1,019",.248,.217,.359,.333,.442,.344,.351,.306,16,.338,.194,33.6,88.5,91.3,14,155,36.7,5.5,3.1,2024
"Ritter, Luke",2255,2255,100.0,567,479,307,123,70,25,2,26,174,30.7,73,12.9,363,"1,017",.257,.230,.369,.346,.480,.424,.369,.340,39,.345,.223,35.7,89.6,91.8,10,152,44.3,12.7,6.9,2024
"Harris, Dustin  TEX #29",2241,2241,100.0,560,486,372,132,97,22,3,10,123,22.0,57,10.2,229,"1,011",.272,.228,.353,.319,.391,.312,.329,.288,12,.339,.119,22.7,83.9,90.1,17,152,22.8,3.2,2.1,2024
"Bastidas, Jesús",2238,2238,100.0,604,525,389,127,70,31,1,25,140,23.2,52,8.6,342,"1,199",.242,.224,.334,.322,.448,.382,.341,.313,27,.280,.206,28.5,87.2,91.0,22,167,35.2,6.9,4.5,2024
"Bannon, Rylan",2229,2229,100.0,536,434,300,96,54,22,2,18,136,25.4,93,17.4,308,976,.221,.195,.366,.347,.406,.315,.344,.309,16,.277,.184,31.6,88.0,91.2,15,154,37.7,5.3,3.0,2024
"Severino, Yunior",2223,2223,100.0,564,489,342,124,80,21,2,21,154,27.3,66,11.7,363,"1,036",.254,.231,.340,.324,.434,.400,.337,.321,31,.321,.180,35.0,89.7,92.1,8,144,42.1,9.1,5.5,2024
"Arias, Roderick  NYY #4",2205,2205,100.0,550,472,306,110,68,21,8,13,170,30.9,67,12.2,398,"1,088",.233,.202,.335,.309,.394,.331,.322,.290,23,.331,.161,36.6,89.4,91.1,12,149,39.5,7.5,4.2,2024
"Higgins, P.J.",2205,2205,100.0,567,514,379,133,90,32,0,11,140,24.7,44,7.8,288,"1,086",.259,.228,.319,.294,.385,.322,.309,.275,15,.332,.126,26.5,87.3,90.4,13,159,30.9,4.0,2.6,2024
"Caissie, Owen  MLB #34 / #CHC #2",2169,2169,100.0,546,472,318,131,80,29,3,19,156,28.6,68,12.5,333,"1,039",.278,.242,.372,.341,.472,.398,.367,.328,27,.375,.195,32.1,89.4,91.5,14,149,42.5,8.5,4.9,2024
"Palmegiani, Damiano",2148,2148,100.0,524,454,310,98,59,18,0,21,147,28.1,55,10.5,313,982,.216,.193,.315,.295,.394,.336,.313,.284,23,.266,.178,31.9,89.5,92.0,20,146,43.5,7.4,4.4,2024
"Crim, Blaine",2145,2145,100.0,585,504,407,139,85,32,2,20,101,17.3,70,12.0,249,985,.276,.266,.369,.363,.466,.430,.363,.350,29,.307,.190,25.3,89.1,92.2,15,161,40.8,7.1,5.0,2024
"Peguero, Liover",2139,2139,100.0,555,495,367,127,81,29,4,13,139,25.0,46,8.3,323,"1,009",.257,.220,.319,.290,.410,.335,.316,.279,19,.325,.154,32.0,87.7,91.5,11,142,36.2,5.2,3.4,2024
"Bigbie, Justice  DET #21",2119,2119,100.0,558,488,389,121,89,26,2,4,104,18.6,60,10.8,239,992,.248,.253,.333,.341,.334,.373,.300,.319,17,.304,.086,24.1,89.7,91.6,4,150,41.6,4.4,3.0,2024
"Ornelas, Tirso  SD #18",2119,2119,100.0,546,485,403,144,95,24,2,23,88,16.1,51,9.3,214,"1,026",.297,.265,.364,.337,.497,.407,.370,.327,25,.318,.200,20.9,87.6,91.8,8,151,39.2,6.2,4.6,2024
"Nuñez, Malcom",2112,2112,100.0,526,468,372,117,85,21,0,11,108,20.5,42,8.0,237,934,.250,.244,.310,.309,.365,.355,.296,.296,17,.294,.115,25.4,87.7,91.5,11,140,38.7,4.6,3.2,2024
"Rodriguez, Johnathan  CLE #12",2085,2085,100.0,507,439,314,132,85,18,0,29,128,25.2,63,12.4,260,890,.301,.245,.389,.343,.540,.446,.398,.346,37,.361,.239,29.2,92.5,93.5,7,153,54.5,11.8,7.3,2024
"Lavigne, Grant",2080,2080,100.0,528,441,304,107,68,15,6,18,143,27.1,71,13.4,314,942,.243,.223,.357,.342,.426,.371,.344,.321,25,.312,.184,33.3,86.7,91.4,12,151,39.5,8.2,4.7,2024
